jing,ceng,wei,DEPT,SP,PE,CAL,GR,U,TH,K,AC,CNL,DEN,RLLS,RLLD,LABEL
31,50,盒8,3888.3989,59.7012,2.4183,23.781,37.1829,1.0812,5.7082,1.1831,231.7071,8.5869,2.4996,45.1778,51.2264,1
31,50,盒8,3888.5239,59.6229,2.3998,23.7179,43.2706,0.9425,5.8789,1.2428,231.9695,8.3729,2.4941,46.4541,52.1754,1
31,50,盒8,3888.6489,59.5611,2.28,23.5706,46.4982,0.8308,6.0083,1.2774,232.9178,8.4596,2.492,46.1556,51.7233,1
31,50,盒8,3888.7739,59.509,2.1373,23.3778,47.4483,0.732,6.0259,1.2844,233.2243,8.1198,2.5011,44.7703,50.2378,1
31,50,盒8,3888.8989,59.4609,2.0275,23.3268,46.7839,0.666,5.7542,1.2353,233.9135,8.1962,2.52,42.4925,47.9366,1
31,50,盒8,3889.0239,59.4178,1.9673,23.4469,43.3436,0.6537,5.4579,1.1745,235.7399,8.1085,2.5298,40.2653,45.8094,1
31,50,盒8,3889.1489,59.3926,1.9872,23.8185,38.6246,0.645,5.4371,1.1614,237.8437,7.7375,2.5206,39.1343,45.0281,1
31,50,盒8,3889.2739,59.3824,2.098,24.2623,36.7024,0.6383,5.634,1.19,238.3243,7.0385,2.5029,40.0532,46.7463,1
31,50,盒8,3889.3989,59.3751,2.254,24.4934,38.1327,0.6471,6.0165,1.2457,235.8432,6.4851,2.4822,43.6057,51.6582,1
31,50,盒8,3889.5239,59.3686,2.3659,24.2262,41.7295,0.6689,6.5306,1.3142,231.3348,6.2564,2.4569,49.66,59.7171,1
31,50,盒8,3889.6489,59.3599,2.3917,23.8211,43.2898,0.7675,7.7335,1.5285,225.0714,5.4685,2.4323,60.2817,73.5231,1
31,50,盒8,3889.7739,59.3465,2.3558,23.5273,42.242,0.9367,9.3209,1.8065,217.55,4.758,2.4381,76.1913,93.2056,1
31,51,盒8,3889.8989,59.3309,2.3517,23.5056,40.62,1.1,10.7587,2.0414,210.9974,4.4202,2.4814,93.3362,114.2772,1
